num_steps,beam_width,orig_text,restored_text
,0,"If we were at the location shown in the picture and wanted to have a picnic, what area would be a suitable spot for us to spread out a picnic blanket?","If we were sitting in a picnic and wanted to have a nice spot, what area in the picture would be provided for us to spot the pizza?"
,0,Suppose you are going to have a picnic at the location shown in the picture. What area is an appropriate location for laying out a picnic blanket?,Suppose you are going to hang out a picnic at a nearby spot. What area in the picture is the appropriate location for laying out a picnic?
,0,"If you were at the location shown in the picture and you wanted to have a picnic, which area would be best suited for spreading out a picnic blanket?","If you were located in a picnic and wanted to get a pink cup, which area in the picture would be best suited for gathering at a picnic?"
,0,"If we were at the location shown in the picture and desired to have a picnic, where would be a feasible location to lay out a picnic blanket?","If we were to be in the location shown in the picture, where would we be at a convenient spot to hang out and request a picnic?"
,0,Suppose we are currently at the depicted location and are seeking to have a picnic. What would be the best area to spread out a picnic blanket?,We are currently sitting nearby and would like to have a picnic spot. What could be the area to spread out the best potted flag?
,0,"In a modern office, employees often have meetings to discuss work matters. What object in the picture can be used as a surface for employees to place documents or devices during a meeting?","During a meeting, employees often have documents and presentations to discuss issues. What object in the picture can be used as a surface for employees to stand in office jobs?"
,0,What object in the picture might function as a surface for employees to place documents or devices on while holding a meeting to discuss work matters in a contemporary office setting?,What object in the picture might serve as a surface to hold documents or statements while working on a meeting to support an office concept in employees place?
,0,"In a modern office, meetings are frequently held to discuss work-related issues. Which object in the picture could be utilized as a surface to place documents or devices on during such meetings?","In a office, issues are often present during meetings to be addressed. Which object in the picture could utilize devices or structures to hold documents as a place-related work?"
,0,"In a modern office, what object in the picture could be utilized as a surface during meetings for employees to place documents or devices?","In a modern office, what object in the picture could be utilized as a surface for employees to place documents or messages in positions?"
,0,"In a modern office, meetings are a common way for employees to discuss work matters. What object can be utilized as a surface for employees to place documents or devices during a meeting, as portrayed in the image?","In a office, communication devices are a common way for employees to present their thoughts and discussions. What object in the picture can be utilized as a surface for employees to meet at work?"
,0,"In a modern office, meetings among employees to discuss work matters are common. What is the object in the picture that can be utilized as a surface to place documents or devices during such a meeting?","In a formal office, communication devices are common among employees. What is the object in the picture that can be utilized to hold meetings or documents as a surface to discuss this?"
,0,What object in a room can put on the floor to make people feel more comfortable walking?,What object in a room can put on the floor to make people feel more comfortable?
,0,What object could you put on the floor in a room to make people feel more comfortable while walking?,What object could you put on a floor to make people feel more comfortable in the room?
,0,What can be placed on the floor that would make walking more comfortable inside a room?,What could be placed on the floor that would make walking more comfortable inside a room?
,0,What can be placed on the floor in a room to create greater comfort while walking?,What can be placed on a floor to provide comfort while sitting in the room?
,0,What object placed on the floor could make people feel more comfortable while walking in a room?,What object placed on a floor could make people feel more comfortable walking in the room?
,0,"In an office, people sometimes need to print a large number of files in a short period. What device can be used to complete this task quickly?","In a office, people often need to print a large number of documents in a short period of time. What device can be used to complete this task efficiently?"
,0,"When there's a need to print a large number of file quickly in an office setting, which device is typically utilized?","When there's a need to print a large file in an office setting, which device is typically utilized?"
,0,"In an office environment, when a large number of documents need to be printed within a short period of time, what device would you suggest using to accomplish this task quickly?","In a busy environment, when a large number of documents need to be printed within a short period of time, what device would you suggest to perform this task effectively?"
,0,What device can be utilized to quickly complete the printing of a large volume of files in an office setting?,What device can be utilized to quickly complete the printing of a large array of documents in an office setting?
,0,"When there is a large amount of printing required for office documents, what electronic device can be used to complete the task quickly?","When there is a large amount of office supplies needed to complete a task quickly, what electronic device can be used for printing?"
,0,the food with high protein,the food with protein
,0,the youngest person,the youngest person
,0,"In an office setting, people often use writing instruments to take notes or sign documents. What object in the picture would be commonly used for this purpose?","In an office setting, people often use writing instruments to take notes or sign documents. What object in the picture would be commonly used for this purpose?"
,0,"When working in an office environment, what item in the picture would be typically utilized to take notes or sign documents?","When working in an office environment, what item in the picture would typically be utilized to take notes or write documents?"
,0,"In an office setting where individuals often need to take notes or sign documents, what objects could be used for this purpose based on the picture?","In an office setting where people often need to take notes or sign documents based on the picture, what object could be used for this purpose?"
,0,"In an office setting, people regularly use writing instruments to sign documents or take notes. What items in the picture could be used for this function?","In an office setting, people often use writing instruments to write notes or sign documents. What items in the picture could be used for this function?"
,0,"In an office setting, taking notes or signing documents typically requires the use of certain objects. What item in the picture is commonly utilized for these purposes?","When taking notes or using electronic devices, certain items require an office setting. What item in the picture is typically utilized for purposes of this?"
,0,"In an office setting, what item in the picture would be commonly used for taking notes or signing documents?","In an office setting, what item in the picture would be commonly used for taking notes or signing documents?"
,0,"In military organizations, there are often individuals responsible for leading a group of troops. Who in the picture is likely fulfilling this leadership role?","In military organizations, there are typically leaders in charge of a leadership team. Who in this picture is responsible for fulfilling this role?"
,0,"In a military organization, there are frequently individuals responsible for leading a group of troops. Who in the picture is most likely fulfilling this leadership position?","In a military organization, there are typically one leader in charge of this task. Who in a company is most likely fulfilling a leading leadership force?"
,0,"Who in the picture is likely serving in the role of leading a group of troops, a common responsibility in military organizations?","Who in the picture is likely serving in the role of a group of people, a prominent military officer in union services?"
,0,Which individual in the picture is likely fulfilling the leadership role in a military organization by commanding a group of troops?,Which individual in the picture is likely fulfilling the commanding role of a military organization by leading a group of troops in an army?
