adv_text,orig_text,b_score
"In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",5.246989727020264
"In a chicken salad, which ingredients in the picture give a fresh and crunchy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",5.118815898895264
"In a chicken salad, which ingredients in the picture give a fresh and crisusty texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",5.002782821655273
"In in a chicken salad, which ingredients in the picture give a fresh and crispy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.9231414794921875
"In the chicken salad, which ingredients in the picture give the fresh and crispy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.904923915863037
"In the case of a chicken salad, which ingredients in the picture give the fresh and crispy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.8527021408081055
"In a a chicken salad, which ingredients in the picture give a fresh and crisusty texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.845124244689941
"In the chicken salad, which ingredients in the picture give the freshest crisp texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.828819274902344
"In the chicken salad, which ingredients in the picture give the freshest and crisp text?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.694438457489014
"In a chi salad, which ingredients in the picture give a fresh and crunchy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.575191974639893
"In the chicken salad, which ingredients in the picture give the freshest crisest texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.517577171325684
"In a a salad, which ingredients in the picture give a fresh and crunchy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.506383419036865
"In the chi salad, which ingredients in the picture give the fresh and crispy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.470968246459961
"In a a salad, which ingredients in the picture give a fresh and crisusty texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.4365692138671875
"In a a salad, which ingredients in the picture give a fresh and crisunchy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.407461643218994
"In the chi salad, which ingredients in the picture give the fresh and crisusty texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.383688926696777
"In the chicken salad, which ingredients in the picture give the freshest,est texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.359496593475342
"In the salad,, in a chicken salad, which ingredients in the picture give the fresh and crispy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.257604122161865
"In the chi salad, which ingredients in the picture give the freshest and crisestiest texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.235540390014648
"In the chi salad, which ingredients in the picture give the freshest andcristiest texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.085069179534912
"In the chicken,, which ingredients in the picture give the fresh and crisusty texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",4.0631842613220215
"In the of, the, in a chi salad, which of in the picture gives the the fresh and crispy texture?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",3.451570987701416
"In the chi,, which ingredients in the picture make the most flacious????","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",3.363489866256714
"In the chi,ing, what ingredients in the picture are the most interesting?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",3.047335624694824
"When you the salad,, what ingredients in the reci are the most??'s?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",3.0267257690429688
"When in a cake, what ingredients in the reci? the most in??????????????????????redi?redients?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",2.782711982727051
"When you a salad,ing, what ing the ingredi ingredi to a?","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",2.735077381134033
"In a chicken in in ofents in a chicken salad, the picture of the the the a in in in the of of inredi in in in In In a chicken, in ingredients in a chi","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",2.420750617980957
"When you the salad,ing, what ingredi the the,.. make make make make,,","In a chicken salad, which ingredients in the picture provide a fresh and crunchy texture?",2.411130428314209
